#,Section,Field Name,Question / Label,Options (MCQ),Filter Type,Conditional Logic,Why This Matters
A. IDENTITY & BASICS,,,,,,,
  💡 Who you are — the non-negotiable starting point,,,,,,,
1,Identity,gender_identity,I am a:,Male | Female | Non-binary / Self-describe,Hard Filter,,Core matching axis
2,Identity,looking_for_gender,Looking for:,Men | Women | Either,Hard Filter,,Core matching axis
3,Identity,date_of_birth,Your date of birth:,Date picker (DD/MM/YYYY),Hard Filter,,Exact age calc; age-range filtering; legal verification
4,Identity,marital_status,Marital status:,Never married | Divorced | Widowed | Separated | Annulled,Hard Filter,,Top-3 dealbreaker in Indian matchmaking
5,Identity,children_existing,Do you have children?,"No | Yes, living with me | Yes, not living with me",Hard Filter,Show if marital_status ≠ Never married,Major dealbreaker; affects lifestyle compatibility
6,Identity,height_cm,Your height:,< 150cm | 150–155 | 156–160 | 161–165 | 166–170 | 171–175 | 176–180 | 181–185 | 186–190 | 190+,Soft Filter,,Top physical filter in Indian matchmaking
7,Identity,body_type,Body type:,Slim | Athletic | Average | Curvy | Heavy,Soft Filter,,Physical compatibility signal
8,Identity,complexion,Complexion:,Fair | Wheatish | Medium | Dusky | Dark | Prefer not to say,Soft Filter,,"Controversial but real Indian filter; ""Prefer not to say"" respects choice"
9,Identity,disability_status,Any physical disability?,"None | Yes, minor | Yes, significant | Prefer not to say",Hard Filter,,Transparency; avoids awkward reveals later
B. LOCATION & MOBILITY,,,,,,,
  💡 Where you are and where you could be,,,,,,,
10,Location,residency_type,Residency status:,Indian citizen (in India) | NRI | OCI / PIO | Foreign national of Indian origin,Hard Filter,,Drives entire location & legal compatibility branch
11,Location,country_current,Country you live in:,[Dropdown: India | UAE | USA | UK | Canada | Australia | Singapore | Germany | Other],Hard Filter,Show if residency_type ≠ Indian citizen (in India),"NRI geography matters for timezone, visa, visits"
12,Location,state_india,State:,[Dropdown: All 28 states + 8 UTs],Soft Filter,Show if residency_type = Indian citizen,"Regional culture, language, cuisine alignment"
13,Location,city_current,City:,[Autocomplete: Top 100 Indian cities + major global cities],Soft Filter,,Proximity matching; metro vs tier-2 lifestyle gap
14,Location,hometown_state,Native place / hometown state:,[Dropdown: All 28 states + 8 UTs],Soft Filter,,"""Where are you originally from"" — cultural roots signal"
15,Location,willing_to_relocate,Open to relocating?,"Yes, anywhere | Yes, within India | Yes, within my state | Yes, to India (NRI returning) | Maybe, depends on partner | No",Hard Filter,,Eliminates geographic dead-ends early
16,Location,partner_location_pref,Partner location preference:,Same city | Same state/region | Anywhere in India | NRI OK | International OK | No preference,Hard Filter,,Two-way geographic filter
17,Location,settling_country,Where do you plan to settle long-term?,India | Abroad | Open to either | Haven't decided,Soft Filter,Show if residency_type = NRI or OCI,"NRI-specific: ""are you coming back or staying?"""
